2024-02-08T08:23:18.418627+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '76236b71-e66a-4688-a0da-9392b5c53f8e', 'counter': 1, 'stdout': '\x1b[1;35m[WARNING]: Error getting vault password file (default): The vault password file\x1b[0m', 'start_line': 0, 'end_line': 1, 'runner_ident': 'e8e69e9f-1b71-4f9d-ad39-e458bd3cefcc', 'created': '2024-02-08T08:23:18.409088'}
2024-02-08T08:23:18.419331+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'fc75b8a0-e558-4083-82cb-f1413740a128', 'counter': 2, 'stdout': '\x1b[1;35m/home/student/ansible_examples/ansible_async_poll/vault_pw3.txt was not found\x1b[0m', 'start_line': 1, 'end_line': 2, 'runner_ident': 'e8e69e9f-1b71-4f9d-ad39-e458bd3cefcc', 'created': '2024-02-08T08:23:18.409331'}
2024-02-08T08:23:18.419461+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '1b5836d0-60b4-4cbd-82fe-87100181773a', 'counter': 3, 'stdout': '\x1b[0;31mERROR! The vault password file /home/student/ansible_examples/ansible_async_poll/vault_pw3.txt was not found\x1b[0m', 'start_line': 2, 'end_line': 3, 'runner_ident': 'e8e69e9f-1b71-4f9d-ad39-e458bd3cefcc', 'created': '2024-02-08T08:23:18.409685'}
2024-02-08T08:23:50.206824+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '26a08882-232c-40b9-9578-bf4935034af1', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': 'c1967634-83d0-4cae-b63e-9ec77f735c27', 'created': '2024-02-08T08:23:50.203916'}
2024-02-08T08:23:50.207568+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '7d392dc8-8353-48d2-995d-0b7304af374b', 'counter': 2, 'stdout': 'playbook: /home/student/ansible_examples/ansible_async_poll/playbook.yaml', 'start_line': 1, 'end_line': 2, 'runner_ident': 'c1967634-83d0-4cae-b63e-9ec77f735c27', 'created': '2024-02-08T08:23:50.204179'}
2024-02-09T08:29:47.989676+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f7a8eb71-f4c5-4450-8b0e-4b8f39958947', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': '3d929b9f-20a2-4495-b650-a4d479488c2a', 'created': '2024-02-09T08:29:47.985424'}
2024-02-09T08:29:47.990429+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e8d72fbf-4f2c-4e1e-ab6a-abd383f56b56', 'counter': 2, 'stdout': 'playbook: /home/student/ansible_examples/ansible_async_poll/playbook2.yaml', 'start_line': 1, 'end_line': 2, 'runner_ident': '3d929b9f-20a2-4495-b650-a4d479488c2a', 'created': '2024-02-09T08:29:47.985668'}
2024-02-09T08:29:58.108406+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'c224ea14-fbde-45b2-b188-c6393eb345a5', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': '12e770d9-453b-4fa2-8e43-16997b02bc82', 'created': '2024-02-09T08:29:58.100499'}
2024-02-09T08:29:58.109192+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'b392c927-5a75-48a6-825b-178b689b922f', 'counter': 2, 'stdout': 'playbook: /home/student/ansible_examples/ansible_async_poll/playbook2.yaml', 'start_line': 1, 'end_line': 2, 'runner_ident': '12e770d9-453b-4fa2-8e43-16997b02bc82', 'created': '2024-02-09T08:29:58.100772'}
2024-02-09T08:30:17.356697+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'd8d363fb-a2f9-4f41-b03f-23ff1342ec34', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': 'b4f162c0-2a8a-4531-87a6-5ad85755b34d', 'created': '2024-02-09T08:30:17.350489'}
2024-02-09T08:30:17.357498+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e3b5ff1b-09ad-4d81-8633-721c48a14434', 'counter': 2, 'stdout': 'playbook: /home/student/ansible_examples/ansible_async_poll/playbook3.yaml', 'start_line': 1, 'end_line': 2, 'runner_ident': 'b4f162c0-2a8a-4531-87a6-5ad85755b34d', 'created': '2024-02-09T08:30:17.350754'}
